
Calculating PEARSON_MULTI correlation of data from SOLAR_1YEAR
Countries [BE] and [BG, CZ, ES], Correlation: 0.68788
Countries [CH, ES] and [PT, FR], Correlation: 0.84896
Countries [DE, AT, PT] and [GB], Correlation: 0.50998
Countries [AT, GB] and [DE, PT], Correlation: 0.52860
Countries [BE, BG, GR] and [CZ], Correlation: 0.78911
Countries [AT, PT] and [CH, CZ], Correlation: 0.75448
Countries [NL] and [PT, GR, FR], Correlation: 0.53201
Countries [DE, GR] and [GB, FR], Correlation: 0.69056
Countries [CH, FR] and [PT, ES], Correlation: 0.81292
Countries [BE, PT] and [BG, NL], Correlation: 0.86001
Countries [BG, GR] and [BE, CZ], Correlation: 0.55258
Countries [PT, NL] and [BE, BG], Correlation: 0.75575
Countries [ES] and [DE, CZ, RO], Correlation: 0.52593
Countries [CH, RO, ES] and [BE], Correlation: 0.69277
Countries [BG, GB] and [FR, ES], Correlation: 0.74561
Countries [BG, GB, FR] and [ES], Correlation: 0.77954
Countries [BG, GB, ES] and [FR], Correlation: 0.83594
Countries [DE, GR, FR] and [GB], Correlation: 0.68169
Countries [AT, CH] and [PT, CZ], Correlation: 0.60118
Countries [AT] and [PT, CH, CZ], Correlation: 0.88170
Countries [CZ, GR] and [BE, BG], Correlation: 0.75071
Countries [BE, BG, CZ] and [GR], Correlation: 0.56431
Countries [RO] and [CH, GR, NL], Correlation: 0.53216
Countries [PT, CZ, FR] and [BE], Correlation: 0.81247
Countries [CH, GR] and [RO, NL], Correlation: 0.62653
Countries [GR, GB] and [DE, PT], Correlation: 0.52318
Countries [ES] and [PT, GB, NL], Correlation: 0.71254
Countries [CZ, FR, RO] and [NL], Correlation: 0.63401
Countries [BG, CZ, FR] and [GR], Correlation: 0.55124
Countries [BG, DK, GB] and [FR], Correlation: 0.79566
Countries [NL] and [BG, RO, ES], Correlation: 0.58246
Countries [BG, DK, ES] and [NL], Correlation: 0.60406
Countries [AT, ES] and [FR, NL], Correlation: 0.84451
Countries [ES, NL] and [AT, FR], Correlation: 0.83944
Countries [AT] and [PT, DK, GR], Correlation: 0.74396
Countries [PT, CH, GR] and [RO], Correlation: 0.78693
Countries [CZ] and [BE, PT, GR], Correlation: 0.77020
Countries [CZ, GR] and [BE, PT], Correlation: 0.57132
Countries [BE, GB, NL] and [ES], Correlation: 0.74189
Countries [ES] and [DK, GB, RO], Correlation: 0.70936
Countries [BE] and [PT, GR, ES], Correlation: 0.56803
Countries [AT, RO] and [PT, BG], Correlation: 0.62528
Countries [AT, PT, RO] and [BG], Correlation: 0.72235
Countries [AT, BG] and [PT, RO], Correlation: 0.78420
Countries [AT, PT] and [BG, RO], Correlation: 0.55705
Countries [GR, ES] and [FR, NL], Correlation: 0.83788
Countries [AT] and [PT, BG, RO], Correlation: 0.66366
Countries [GR, FR] and [ES, NL], Correlation: 0.84738
Countries [AT, PT, BG] and [RO], Correlation: 0.75395
Countries [BE, FR] and [RO, ES], Correlation: 0.79804
Countries [BE, ES] and [FR, RO], Correlation: 0.81998
Countries [AT, BE, GB] and [ES], Correlation: 0.73937
Countries [BE] and [AT, RO, ES], Correlation: 0.69408
Countries [BE, PT, GR] and [NL], Correlation: 0.67209
Countries [DE, AT, NL] and [ES], Correlation: 0.52856
Countries [BE, PT] and [GR, NL], Correlation: 0.64439
Countries [BE, BG, DK] and [AT], Correlation: 0.73503
Countries [AT, BE] and [PT, NL], Correlation: 0.79051
Countries [BE] and [PT, GR, NL], Correlation: 0.54212
Countries [CH, GR, FR] and [NL], Correlation: 0.61220
Countries [DE, BE, GR] and [FR], Correlation: 0.55150
Countries [NL] and [CH, DK, FR], Correlation: 0.75389
Countries [NL] and [AT, BE, PT], Correlation: 0.60597
Countries [DE, PT, CZ] and [GB], Correlation: 0.52271
Countries [BE] and [AT, CH, FR], Correlation: 0.84069
Countries [AT, NL] and [BE, PT], Correlation: 0.91370
Countries [DE, RO, ES] and [FR], Correlation: 0.53897
Countries [ES] and [DE, AT, BG], Correlation: 0.53973
Countries [PT, NL] and [CH, CZ], Correlation: 0.57355
Countries [CH, NL] and [PT, CZ], Correlation: 0.72232
Countries [DK, GR] and [CH, NL], Correlation: 0.57740
Countries [DE, PT] and [CZ, GB], Correlation: 0.56944
Countries [CH, GR] and [DK, NL], Correlation: 0.55037
Countries [BE] and [DK, RO, ES], Correlation: 0.70271
Countries [ES] and [DE, DK, FR], Correlation: 0.50255
Countries [DE, DK, ES] and [FR], Correlation: 0.58660
Countries [DE, FR, ES] and [GB], Correlation: 0.78224
Countries [DE, ES] and [GB, FR], Correlation: 0.67380
Countries [DE, FR] and [GB, ES], Correlation: 0.65238
Countries [AT, ES] and [FR, RO], Correlation: 0.86400
Countries [RO, ES] and [AT, FR], Correlation: 0.86482
Countries [BE] and [GR, FR, RO], Correlation: 0.73450
Countries [BE, GR] and [FR, RO], Correlation: 0.50361
Countries [AT] and [BE, PT, CH], Correlation: 0.82414
Countries [NL] and [DK, GR, ES], Correlation: 0.50483
Countries [CH, NL] and [BG, CZ], Correlation: 0.65712
Countries [FR] and [AT, PT, GB], Correlation: 0.81180
Countries [BG, NL] and [CH, CZ], Correlation: 0.56754
Countries [BG, CH, NL] and [CZ], Correlation: 0.55272
Countries [GR, FR] and [BG, ES], Correlation: 0.83991
Countries [GR, ES] and [BG, FR], Correlation: 0.83001
Countries [AT, ES] and [DK, FR], Correlation: 0.85819
Countries [PT, CZ, DK] and [BG], Correlation: 0.58406
Countries [DK] and [PT, BG, CZ], Correlation: 0.58762
Countries [PT, CZ] and [BG, DK], Correlation: 0.58653
Countries [BE, ES] and [CZ, FR], Correlation: 0.86550
Countries [GR, ES] and [PT, FR], Correlation: 0.75184
Countries [BE, CZ, ES] and [FR], Correlation: 0.52243
Countries [DE, BG, RO] and [GB], Correlation: 0.51524
Countries [PT, ES] and [GR, FR], Correlation: 0.73298
Countries [CZ, ES] and [BE, FR], Correlation: 0.85593
Countries [DE, BG] and [GB, RO], Correlation: 0.50391
Countries [CZ, RO] and [PT, GR], Correlation: 0.73717
Countries [AT, FR] and [DK, ES], Correlation: 0.85964
Countries [RO] and [PT, CZ, GR], Correlation: 0.58470
Countries [DE, BG, NL] and [GB], Correlation: 0.53844
Countries [DE, BG] and [GB, NL], Correlation: 0.54263
Countries [CZ] and [PT, GR, RO], Correlation: 0.58548
Countries [DE, BG, ES] and [FR], Correlation: 0.53336
Countries [BE] and [CZ, DK, ES], Correlation: 0.71831
Countries [PT, CH, FR] and [NL], Correlation: 0.72528
Countries [GR, FR] and [CH, ES], Correlation: 0.80446
Countries [CH, FR] and [GR, ES], Correlation: 0.79450
Countries [ES] and [DE, CH, CZ], Correlation: 0.55901
Countries [BE, DK] and [PT, CZ], Correlation: 0.64754
Countries [BE, PT] and [CZ, DK], Correlation: 0.73580
Countries [CZ] and [BE, PT, DK], Correlation: 0.68769
Countries [AT, CZ, GB] and [ES], Correlation: 0.73707
Countries [ES] and [BG, CH, GB], Correlation: 0.70214
Countries [PT, BG] and [CH, CZ], Correlation: 0.50367
Countries [BG] and [PT, CH, CZ], Correlation: 0.60073
Countries [DE, PT, CH] and [FR], Correlation: 0.65694
Countries [BE, CH] and [AT, DK], Correlation: 0.63059
Countries [DK] and [AT, BE, CH], Correlation: 0.59126
Countries [BE, PT] and [AT, CZ], Correlation: 0.76851
Countries [BE, PT, CZ] and [AT], Correlation: 0.66959
Countries [AT] and [BE, CH, DK], Correlation: 0.83174
Countries [FR] and [CH, GB, RO], Correlation: 0.79780
Countries [AT, BE] and [PT, CZ], Correlation: 0.61828
Countries [AT, BE, PT] and [CZ], Correlation: 0.75036
Countries [FR] and [DE, DK, NL], Correlation: 0.64327
Countries [PT, CZ, GB] and [FR], Correlation: 0.81963
Countries [CZ, ES] and [AT, FR], Correlation: 0.86938
Countries [CZ, FR] and [AT, ES], Correlation: 0.86025
Countries [CH, ES] and [BG, FR], Correlation: 0.85339
Countries [CH, FR] and [BG, ES], Correlation: 0.85036
Countries [ES, NL] and [CZ, FR], Correlation: 0.85501
Countries [BE] and [CZ, GR, ES], Correlation: 0.60796
Countries [FR, NL] and [CZ, ES], Correlation: 0.86850
Countries [AT, BG] and [BE, CH], Correlation: 0.53716
Countries [AT] and [BE, BG, CH], Correlation: 0.80677
Countries [DK, GB] and [BE, ES], Correlation: 0.50277
Countries [BE, DK, GB] and [ES], Correlation: 0.73327
Countries [AT, CZ, GR] and [RO], Correlation: 0.58390
Countries [AT, GR, RO] and [CZ], Correlation: 0.76988
Countries [GR, RO] and [AT, CZ], Correlation: 0.72763
Countries [AT, GR] and [CZ, RO], Correlation: 0.81125
Countries [AT] and [CZ, GR, RO], Correlation: 0.59240
Countries [AT, GR, FR] and [NL], Correlation: 0.56381
Countries [GB, NL] and [DE, AT], Correlation: 0.59215
Countries [AT, GB] and [DE, NL], Correlation: 0.52563
Countries [DE, AT, NL] and [GB], Correlation: 0.58481
Countries [GR] and [BG, RO, ES], Correlation: 0.52753
Countries [DE, DK] and [GR, GB], Correlation: 0.57739
Countries [BE, GB, NL] and [FR], Correlation: 0.84744
Countries [DE, AT, CH] and [FR], Correlation: 0.68290
Countries [DE, BE, RO] and [FR], Correlation: 0.58265
Countries [DE, DK, GR] and [GB], Correlation: 0.55072
Countries [NL] and [BE, CH, GR], Correlation: 0.67816
Countries [FR] and [DE, BG, CZ], Correlation: 0.61483
Countries [BE, CH] and [GR, NL], Correlation: 0.62294
Countries [BE] and [CH, GR, NL], Correlation: 0.55486
Countries [GB, RO, NL] and [ES], Correlation: 0.72349
Countries [DE, AT] and [GR, GB], Correlation: 0.57005
Countries [ES] and [DK, GR, GB], Correlation: 0.72823
Countries [GB] and [DE, AT, GR], Correlation: 0.55600
Countries [FR] and [DE, PT, NL], Correlation: 0.61924
Countries [BG, RO] and [CH, GR], Correlation: 0.71881
Countries [CZ, DK] and [AT, BG], Correlation: 0.77660
Countries [BG, DK] and [AT, CZ], Correlation: 0.53628
Countries [AT, BG, CZ] and [DK], Correlation: 0.57304
Countries [AT, GB, NL] and [ES], Correlation: 0.73779
Countries [BG, CZ] and [AT, DK], Correlation: 0.69603
Countries [BG, CZ, DK] and [AT], Correlation: 0.91063
Countries [AT, CZ, DK] and [BG], Correlation: 0.62671
Countries [PT, DK, GR] and [CZ], Correlation: 0.55286
Countries [PT, CZ] and [DK, GR], Correlation: 0.60131
Countries [PT, GR] and [CZ, DK], Correlation: 0.64845
Countries [BG, CH, GR] and [RO], Correlation: 0.84865
Countries [PT, RO, ES] and [BE], Correlation: 0.62583
Countries [BG] and [CH, GR, RO], Correlation: 0.78210
Countries [ES] and [PT, GB, RO], Correlation: 0.65990
Countries [AT, CH, GR] and [DK], Correlation: 0.50123
Countries [AT] and [CH, DK, GR], Correlation: 0.81150
Countries [AT, GR, FR] and [BE], Correlation: 0.74166
Countries [CH, CZ, FR] and [GR], Correlation: 0.54864
Countries [DE, AT, DK] and [FR], Correlation: 0.67668
Countries [CZ] and [BE, CH, GR], Correlation: 0.81240
Countries [PT, BG, GB] and [ES], Correlation: 0.65110
Countries [FR] and [DE, BE, CZ], Correlation: 0.61130
Countries [FR] and [DE, CZ, NL], Correlation: 0.62145
Countries [BE, CH] and [CZ, GR], Correlation: 0.58905
Countries [FR] and [CH, DK, GB], Correlation: 0.81370
Countries [ES] and [DE, CZ, DK], Correlation: 0.55686
Countries [DE, GR, RO] and [FR], Correlation: 0.60162
Countries [BE, RO] and [PT, NL], Correlation: 0.74885
Countries [BE, PT, RO] and [NL], Correlation: 0.52791
Countries [PT, CZ] and [CH, GR], Correlation: 0.65174
Countries [PT, GR] and [CH, CZ], Correlation: 0.51372
Countries [DK] and [PT, CH, NL], Correlation: 0.66487
Countries [RO, NL] and [AT, GR], Correlation: 0.72241
Countries [DE, GR, RO] and [ES], Correlation: 0.51269
Countries [AT, NL] and [GR, RO], Correlation: 0.60257
Countries [AT, DK] and [CH, GR], Correlation: 0.54933
Countries [BE, GR] and [RO, NL], Correlation: 0.63918
Countries [GR, NL] and [BE, RO], Correlation: 0.80561
Countries [BE] and [GR, RO, NL], Correlation: 0.63142
Countries [GR] and [BE, RO, NL], Correlation: 0.53880
Countries [BE, PT] and [RO, NL], Correlation: 0.87661
Countries [NL] and [BE, GR, RO], Correlation: 0.70575
Countries [DE, CH] and [DK, GB], Correlation: 0.55867
Countries [DE, AT, CH] and [ES], Correlation: 0.57043
Countries [CH, RO, NL] and [DK], Correlation: 0.61568
Countries [GB] and [DE, CH, DK], Correlation: 0.54375
Countries [DK, RO] and [CH, NL], Correlation: 0.56068
Countries [CH, DK, NL] and [RO], Correlation: 0.61070
Countries [DE, BE, BG] and [FR], Correlation: 0.57495
Countries [DE, DK] and [CH, GB], Correlation: 0.52890
Countries [ES] and [BE, GB, RO], Correlation: 0.72843
Countries [PT, CZ, ES] and [NL], Correlation: 0.54473
Countries [BG, ES] and [FR, NL], Correlation: 0.81339
Countries [AT, GR, ES] and [BE], Correlation: 0.62882
Countries [BG, FR] and [ES, NL], Correlation: 0.81509
Countries [RO] and [PT, CH, CZ], Correlation: 0.72029
Countries [CH, CZ] and [PT, RO], Correlation: 0.65035
Countries [DE, PT, DK] and [GB], Correlation: 0.50456
Countries [BG, DK, FR] and [CZ], Correlation: 0.50213
Countries [DK, GB] and [DE, PT], Correlation: 0.51404
Countries [PT, NL] and [BG, CZ], Correlation: 0.56352
Countries [BG, ES] and [BE, FR], Correlation: 0.78448
Countries [BE, ES] and [BG, FR], Correlation: 0.80926
Countries [PT, BG, NL] and [CZ], Correlation: 0.52102
Countries [BG, NL] and [PT, CZ], Correlation: 0.60872
Countries [FR] and [DE, AT, RO], Correlation: 0.63726
Countries [FR] and [DE, CH, DK], Correlation: 0.68976
Countries [BE, BG] and [PT, GR], Correlation: 0.61883
Countries [CH, DK, FR] and [GR], Correlation: 0.52800
Countries [DK, FR] and [CH, ES], Correlation: 0.85357
Countries [BE, FR] and [CH, ES], Correlation: 0.76522
Countries [CH, FR] and [BE, ES], Correlation: 0.78587
Countries [ES] and [DE, DK, NL], Correlation: 0.53151
Countries [CH, FR] and [DK, ES], Correlation: 0.85249
Countries [PT, GR, FR] and [BE], Correlation: 0.72138
Countries [CH, DK, GB] and [ES], Correlation: 0.70991
Countries [DE, CZ, NL] and [ES], Correlation: 0.51342
Countries [BG, FR, RO] and [NL], Correlation: 0.66879
Countries [DK, NL] and [BE, CZ], Correlation: 0.75568
Countries [CZ, NL] and [BE, DK], Correlation: 0.89366
Countries [BE, CZ, DK] and [NL], Correlation: 0.75313
Countries [BE] and [CZ, DK, NL], Correlation: 0.63901
Countries [DE, AT] and [CH, GB], Correlation: 0.51970
Countries [DE, CH] and [AT, GB], Correlation: 0.57109
Countries [CZ] and [BE, DK, NL], Correlation: 0.76577
Countries [GB] and [DE, AT, CH], Correlation: 0.54759
Countries [PT, BG, CZ] and [RO], Correlation: 0.84657
Countries [BG, GR, GB] and [FR], Correlation: 0.81741
Countries [PT, CZ] and [BG, RO], Correlation: 0.63022
Countries [BG] and [PT, CZ, RO], Correlation: 0.67658
Countries [DE, GR, ES] and [FR], Correlation: 0.50697
Countries [CZ] and [AT, DK, FR], Correlation: 0.54232
Countries [GB, RO] and [DE, CH], Correlation: 0.52756
Countries [AT, BE, CH] and [CZ], Correlation: 0.75742
Countries [BE, CH, CZ] and [AT], Correlation: 0.74989
Countries [CH, CZ] and [AT, BE], Correlation: 0.56036
Countries [FR] and [DE, PT, BG], Correlation: 0.57508
Countries [BE, CH] and [AT, CZ], Correlation: 0.81856
Countries [CZ, GB, NL] and [ES], Correlation: 0.74311
Countries [DK, FR, RO] and [CZ], Correlation: 0.50801
Countries [DE, PT] and [GB, NL], Correlation: 0.57307
Countries [DE, PT, NL] and [GB], Correlation: 0.54035
Countries [BG, FR, RO] and [CZ], Correlation: 0.50287
Countries [DE, CH, RO] and [GB], Correlation: 0.51166
Countries [DE, NL] and [GB, ES], Correlation: 0.69755
Countries [GB, FR] and [DE, PT], Correlation: 0.72527
Countries [DE, PT, FR] and [GB], Correlation: 0.65338
Countries [PT, DK, FR] and [NL], Correlation: 0.71262
Countries [ES] and [BE, BG, GB], Correlation: 0.72680
Countries [AT] and [BG, CZ, GR], Correlation: 0.59338
Countries [GB] and [DE, ES, NL], Correlation: 0.71018
Countries [AT, CZ] and [BG, GR], Correlation: 0.69577
Countries [AT, GR] and [BG, CZ], Correlation: 0.79755
Countries [AT, BG, GR] and [CZ], Correlation: 0.73245
Countries [GB] and [DE, CZ, NL], Correlation: 0.59529
Countries [DE, PT, CZ] and [FR], Correlation: 0.62479
Countries [BG, FR, RO] and [BE], Correlation: 0.80669
Countries [AT, GR] and [BE, RO], Correlation: 0.75924
Countries [DE, BE, GR] and [GB], Correlation: 0.58132
Countries [DE, BE] and [GR, GB], Correlation: 0.52420
Countries [DE, GR] and [BE, GB], Correlation: 0.54290
Countries [GR, RO] and [AT, BE], Correlation: 0.63535
Countries [ES] and [BG, CZ, GB], Correlation: 0.72752
Countries [GB, NL] and [DE, CZ], Correlation: 0.57356
Countries [DK, RO, NL] and [CZ], Correlation: 0.68981
Countries [GB, FR] and [DE, RO], Correlation: 0.71196
Countries [DK, NL] and [CZ, RO], Correlation: 0.68958
Countries [GB] and [DE, FR, RO], Correlation: 0.66319
Countries [CZ, GB] and [DE, NL], Correlation: 0.56393
Countries [BG, CH, FR] and [CZ], Correlation: 0.53883
Countries [CZ, DK, NL] and [RO], Correlation: 0.52354
Countries [PT, DK, FR] and [BE], Correlation: 0.82269
Countries [CZ, DK] and [RO, NL], Correlation: 0.74205
Countries [CH, FR] and [BE, CZ], Correlation: 0.55931
Countries [BE] and [GR, ES, NL], Correlation: 0.60058
Countries [BE] and [CH, CZ, FR], Correlation: 0.83920
Countries [DE, BG, CZ] and [ES], Correlation: 0.52462
Countries [AT, DK, ES] and [BE], Correlation: 0.71498
Countries [AT, GR] and [BE, DK], Correlation: 0.68863
Countries [DK, GR] and [AT, BE], Correlation: 0.68535
Countries [AT, BG, FR] and [BE], Correlation: 0.80882
Countries [AT, ES] and [BG, FR], Correlation: 0.86235
Countries [AT, FR] and [BG, ES], Correlation: 0.86134
Countries [BG, FR, NL] and [BE], Correlation: 0.79427
Countries [NL] and [BE, BG, FR], Correlation: 0.59803
Countries [BG, FR] and [BE, NL], Correlation: 0.54638
Countries [BE, BG, CZ] and [AT], Correlation: 0.59162
Countries [CZ] and [AT, BE, BG], Correlation: 0.79269
Countries [BG, CZ] and [AT, BE], Correlation: 0.65694
Countries [AT, CZ] and [BE, BG], Correlation: 0.76320
Countries [GB] and [DE, RO, ES], Correlation: 0.66933
Countries [DE, BG, CH] and [ES], Correlation: 0.54774
Countries [DE, RO] and [GB, ES], Correlation: 0.68919
Countries [FR] and [DE, BG, RO], Correlation: 0.63091
Countries [AT, DK, FR] and [NL], Correlation: 0.72155
Countries [AT, CH, GB] and [ES], Correlation: 0.71917
Countries [FR] and [CZ, GB, RO], Correlation: 0.82241
Countries [PT, DK] and [CH, RO], Correlation: 0.63634
Countries [ES] and [BG, DK, GB], Correlation: 0.70745
Countries [PT, CH, RO] and [DK], Correlation: 0.59957
Countries [BE] and [CZ, FR, NL], Correlation: 0.78549
Countries [BE] and [BG, GR, ES], Correlation: 0.62047
Countries [FR] and [CZ, DK, GB], Correlation: 0.83918
Countries [PT, RO] and [CH, DK], Correlation: 0.52248
Countries [ES] and [DE, AT, CZ], Correlation: 0.55040
Countries [GR, RO] and [DK, NL], Correlation: 0.53892
Countries [BE, CZ, FR] and [NL], Correlation: 0.59648
Countries [FR] and [DE, BE, NL], Correlation: 0.60301
Countries [AT, RO, ES] and [NL], Correlation: 0.58381
Countries [BE, NL] and [CZ, FR], Correlation: 0.53928
Countries [RO, NL] and [DK, GR], Correlation: 0.72794
Countries [CZ, RO] and [AT, DK], Correlation: 0.67973
Countries [AT] and [CZ, DK, RO], Correlation: 0.91062
Countries [DK] and [AT, CZ, RO], Correlation: 0.56514
Countries [AT, CZ] and [DK, RO], Correlation: 0.63867
Countries [CZ, DK] and [AT, RO], Correlation: 0.84440
Countries [AT, CZ, DK] and [RO], Correlation: 0.78797
Countries [DE, DK, RO] and [FR], Correlation: 0.64212
Countries [RO] and [BG, CH, DK], Correlation: 0.63550
Countries [CH, DK, RO] and [BG], Correlation: 0.69232
Countries [DK] and [BG, CH, RO], Correlation: 0.65813
Countries [DK, RO] and [BG, CH], Correlation: 0.70572
Countries [BE, NL] and [AT, FR], Correlation: 0.58929
Countries [AT, BE, FR] and [NL], Correlation: 0.63656
Countries [AT, CH, FR] and [NL], Correlation: 0.73637
Countries [AT, FR, NL] and [BE], Correlation: 0.81233
Countries [BG, DK] and [CH, RO], Correlation: 0.82470
Countries [DK, RO] and [PT, BG], Correlation: 0.73183
Countries [PT, BG, RO] and [DK], Correlation: 0.59884
Countries [FR] and [DE, BG, GR], Correlation: 0.60045
Countries [NL] and [BE, DK, FR], Correlation: 0.66038
Countries [DK, FR, NL] and [BE], Correlation: 0.82680
Countries [BE] and [DK, FR, RO], Correlation: 0.82503
Countries [BE, NL] and [DK, FR], Correlation: 0.62041
Countries [FR] and [AT, GB, NL], Correlation: 0.84216
Countries [GR, GB, NL] and [FR], Correlation: 0.82632
Countries [DE, PT, CH] and [ES], Correlation: 0.51848
Countries [PT, DK, RO] and [BG], Correlation: 0.66240
Countries [DE, AT, CZ] and [FR], Correlation: 0.65562
Countries [CH, NL] and [BE, DK], Correlation: 0.81943
Countries [AT, RO] and [DK, GR], Correlation: 0.63594
Countries [AT, DK, GR] and [RO], Correlation: 0.75011
Countries [BE, CH] and [DK, NL], Correlation: 0.90325
Countries [BG, DK] and [PT, RO], Correlation: 0.81636
Countries [FR, RO] and [GR, ES], Correlation: 0.83144
Countries [BE, CH, DK] and [NL], Correlation: 0.54686
Countries [DE, CH, CZ] and [FR], Correlation: 0.66862
Countries [DE, BG, CH] and [FR], Correlation: 0.64565
Countries [DK, GR, RO] and [AT], Correlation: 0.72210
Countries [BE, PT] and [GR, RO], Correlation: 0.51753
Countries [PT, BG, DK] and [RO], Correlation: 0.62889
Countries [DK] and [AT, PT, RO], Correlation: 0.70665
Countries [BG, CH, GR] and [AT], Correlation: 0.72466
Countries [GR, FR] and [RO, ES], Correlation: 0.84250
Countries [DK, RO] and [AT, PT], Correlation: 0.76276
Countries [GR, RO] and [BE, CZ], Correlation: 0.61129
Countries [PT, CZ] and [BE, CH], Correlation: 0.72738
Countries [BE, PT, CH] and [CZ], Correlation: 0.60302
Countries [CZ, GB, RO] and [ES], Correlation: 0.72886
Countries [BE, PT] and [CH, CZ], Correlation: 0.57705
Countries [NL] and [BG, GR, FR], Correlation: 0.55650
Countries [PT, DK] and [AT, CH], Correlation: 0.81950
Countries [PT, GR] and [CZ, NL], Correlation: 0.50843
Countries [PT, DK, RO] and [AT], Correlation: 0.70241
Countries [DK] and [AT, PT, CH], Correlation: 0.70983
Countries [PT, DK, NL] and [RO], Correlation: 0.50868
Countries [BG] and [AT, CH, GR], Correlation: 0.73039
Countries [ES] and [DE, PT, DK], Correlation: 0.51436
Countries [BE, CZ, RO] and [GR], Correlation: 0.57709
Countries [AT, PT] and [CH, DK], Correlation: 0.61673
Countries [AT, DK] and [PT, RO], Correlation: 0.74694
Countries [DK, GR] and [BE, RO], Correlation: 0.73079
Countries [PT, GR] and [BE, RO], Correlation: 0.59902
Countries [BE, DK] and [GR, RO], Correlation: 0.60661
Countries [AT, CH, DK] and [PT], Correlation: 0.53108
Countries [AT, PT, DK] and [RO], Correlation: 0.59787
Countries [FR, ES] and [CH, GB], Correlation: 0.82261
Countries [FR] and [CH, GB, ES], Correlation: 0.88647
Countries [CZ] and [BE, GR, RO], Correlation: 0.80477
Countries [AT, BG] and [CH, GR], Correlation: 0.70418
Countries [GR] and [CZ, FR, RO], Correlation: 0.53930
Countries [ES] and [CH, GB, FR], Correlation: 0.83594
Countries [BE, RO] and [CZ, GR], Correlation: 0.76782
Countries [RO] and [BG, DK, NL], Correlation: 0.65386
Countries [DE, BE, RO] and [GB], Correlation: 0.55601
Countries [DK, GR, NL] and [AT], Correlation: 0.51951
Countries [PT, GR] and [BE, CH], Correlation: 0.57201
Countries [BE, GB] and [DE, RO], Correlation: 0.57442
Countries [DE, AT, PT] and [ES], Correlation: 0.50995
Countries [DK, GR] and [AT, NL], Correlation: 0.68147
Countries [BE, PT, RO] and [CZ], Correlation: 0.69583
Countries [CH, GR] and [BE, PT], Correlation: 0.50961
Countries [AT, GR] and [DK, NL], Correlation: 0.61711
Countries [RO] and [BE, PT, BG], Correlation: 0.58649
Countries [PT, DK, GB] and [FR], Correlation: 0.79507
Countries [DK, GB, RO] and [FR], Correlation: 0.80239
Countries [ES] and [PT, CH, GB], Correlation: 0.68186
Countries [CZ, RO] and [BE, PT], Correlation: 0.66550
Countries [BE, CZ, GR] and [NL], Correlation: 0.75883
Countries [DE, DK, GR] and [FR], Correlation: 0.61311
Countries [BE, PT, BG] and [AT], Correlation: 0.72084
Countries [BE] and [CZ, GR, NL], Correlation: 0.74738
Countries [BE, RO] and [PT, CZ], Correlation: 0.56187
Countries [NL] and [CH, CZ, FR], Correlation: 0.71025
Countries [CZ, ES] and [CH, FR], Correlation: 0.84100
Countries [CZ, FR] and [RO, ES], Correlation: 0.85586
Countries [CH, ES] and [CZ, FR], Correlation: 0.83211
Countries [BE, PT, ES] and [NL], Correlation: 0.53519
Countries [FR] and [CZ, GB, NL], Correlation: 0.84734
Countries [CZ, GR] and [BE, NL], Correlation: 0.62082
Countries [CZ, ES] and [FR, RO], Correlation: 0.86453
Countries [CH, GR] and [BG, DK], Correlation: 0.54409
Countries [BE] and [PT, ES, NL], Correlation: 0.66296
Countries [BE, CZ] and [GR, NL], Correlation: 0.86027
Countries [PT, NL] and [CZ, RO], Correlation: 0.59806
Countries [CZ] and [PT, GR, NL], Correlation: 0.72696
Countries [PT, RO, NL] and [CZ], Correlation: 0.58139
Countries [PT, GR] and [RO, NL], Correlation: 0.61180
Countries [GR, GB, NL] and [ES], Correlation: 0.73199
Countries [CZ, NL] and [BE, GR], Correlation: 0.80724
Countries [BE, ES] and [GR, FR], Correlation: 0.86072
Countries [DE, BE, DK] and [FR], Correlation: 0.63396
Countries [AT] and [PT, BG, NL], Correlation: 0.72463
Countries [CH, FR] and [BE, GR], Correlation: 0.55399
Countries [CH, GR, FR] and [BE], Correlation: 0.77154
Countries [PT, BG] and [AT, CH], Correlation: 0.71368
Countries [CZ] and [BE, GR, NL], Correlation: 0.68653
Countries [BG] and [CH, DK, GR], Correlation: 0.77345
Countries [BE, FR] and [GR, ES], Correlation: 0.82900
Countries [BG, CH] and [AT, PT], Correlation: 0.52135
Countries [PT, DK, ES] and [BE], Correlation: 0.65954
Countries [DE, BG, GR] and [ES], Correlation: 0.51284
Countries [PT, CZ] and [RO, NL], Correlation: 0.61794
Countries [GR] and [BE, CZ, NL], Correlation: 0.58837
Countries [CZ, DK] and [AT, GR], Correlation: 0.71021
Countries [AT] and [CZ, DK, GR], Correlation: 0.66461
Countries [AT, DK, GR] and [CZ], Correlation: 0.75206
Countries [BE, RO] and [DK, NL], Correlation: 0.84077
Countries [CH, GR] and [BE, RO], Correlation: 0.60255
Countries [BE, DK, RO] and [NL], Correlation: 0.61445
Countries [ES] and [BE, PT, GB], Correlation: 0.71286
Countries [BE] and [BG, CH, ES], Correlation: 0.68674
Countries [DK, GR] and [AT, CZ], Correlation: 0.78701
Countries [BE] and [AT, CZ, ES], Correlation: 0.70535
Countries [BG, DK, GR] and [RO], Correlation: 0.78627
Countries [RO, NL] and [BE, DK], Correlation: 0.89129
Countries [BG, GB, NL] and [ES], Correlation: 0.72026
